iter	Passed	Remaining
0	1	192
1	3	155
2	4	148
3	5	130
4	6	122
5	7	119
6	8	116
7	9	111
8	10	108
9	12	113
10	13	110
11	15	110
12	16	107
13	16	104
14	18	103
15	19	101
16	20	99
17	21	97
18	22	96
19	23	93
20	24	91
21	25	91
22	26	89
23	27	87
24	28	86
25	29	84
26	30	83
27	31	81
28	33	81
29	34	81
30	36	80
31	37	78
32	37	77
33	39	76
34	40	74
35	41	73
36	42	71
37	43	70
38	44	69
39	45	67
40	46	67
41	46	64
42	48	63
43	49	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	60	51
54	60	49
55	61	48
56	62	47
57	63	46
58	64	45
59	65	43
60	67	42
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	77	33
70	78	32
71	79	31
72	81	30
73	82	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	96	13
88	97	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
