iter	Passed	Remaining
0	172	172110
1	180	90141
2	185	61535
3	189	47306
4	194	38672
5	200	33260
6	205	29138
7	210	26045
8	214	23604
9	219	21734
10	225	20253
11	229	18916
12	234	17793
13	239	16839
14	245	16147
15	250	15386
16	254	14709
17	258	14114
18	263	13590
19	269	13185
20	274	12776
21	278	12382
22	282	12017
23	287	11685
24	290	11318
25	292	10966
26	294	10619
27	296	10296
28	298	9997
29	300	9717
30	302	9443
31	303	9186
32	305	8945
33	306	8717
34	309	8525
35	310	8316
36	311	8116
37	313	7929
38	314	7750
39	315	7579
40	316	7413
41	318	7256
42	319	7106
43	320	6961
44	321	6823
45	322	6691
46	323	6565
47	324	6441
48	325	6322
49	326	6207
50	327	6098
51	328	5991
52	330	5905
53	331	5807
54	332	5712
55	333	5620
56	334	5530
57	335	5444
58	336	5361
59	337	5282
60	338	5204
61	339	5130
62	340	5059
63	341	4989
64	342	4921
65	343	4855
66	344	4791
67	345	4729
68	346	4669
69	347	4610
70	347	4553
71	348	4498
72	349	4444
73	350	4391
74	352	4349
75	353	4299
76	354	4250
77	355	4204
78	356	4160
79	358	4120
80	359	4079
81	360	4036
82	361	3989
83	362	3948
84	363	3908
85	364	3869
86	364	3830
87	365	3792
88	366	3755
89	367	3719
90	368	3684
91	369	3651
92	370	3616
93	371	3583
94	373	3553
95	374	3529
96	375	3497
97	376	3466
98	377	3436
99	378	3406
100	379	3377
101	380	3349
102	381	3321
103	382	3294
104	383	3267
105	384	3241
106	385	3215
107	386	3190
108	387	3165
109	388	3140
110	389	3116
111	390	3093
112	391	3069
113	392	3046
114	392	3024
115	394	3002
116	394	2980
117	396	2964
118	397	2944
119	399	2926
120	400	2910
121	402	2893
122	404	2881
123	405	2863
124	406	2844
125	407	2826
126	408	2807
127	409	2790
128	410	2772
129	411	2756
130	412	2739
131	414	2722
132	415	2705
133	416	2689
134	418	2680
135	419	2665
136	421	2656
137	422	2642
138	424	2628
139	425	2613
140	426	2597
141	427	2580
142	428	2565
143	428	2549
144	429	2535
145	430	2520
146	431	2506
147	432	2491
148	433	2477
